Date,Open,High,Low,Close,Adj Close,Volume
1/2/2014,19.84571457,19.89392853,19.71500015,19.75464249,17.3187294,234684800
1/3/2014,19.74500084,19.77499962,19.30107117,19.32071495,16.9383049,392467600
1/6/2014,19.19464302,19.52857018,19.05714226,19.42607117,17.03067589,412610800
1/7/2014,19.44000053,19.4985714,19.2114296,19.28714371,16.90888023,317209200
1/8/2014,19.24321365,19.48428535,19.23892975,19.4092865,17.01595879,258529600
1/9/2014,19.52857018,19.53071404,19.11964226,19.16142845,16.79866409,279148800
1/10/2014,19.27964211,19.31428528,18.96821404,19.03357124,16.68656921,304976000
1/13/2014,18.92535782,19.375,18.92428589,19.13321495,16.77392578,378492800
1/14/2014,19.22214317,19.52607155,19.20214272,19.51392937,17.10769653,332561600
1/15/2014,19.76857185,20.00714302,19.70214272,19.90571404,17.45117378,391638800
1/16/2014,19.81785774,19.88750076,19.70285606,19.7946434,17.3537941,229278000
1/17/2014,19.69571495,19.71678543,19.28214264,19.30964279,16.9285984,426739600
1/21/2014,19.32107162,19.64535713,19.30071449,19.60964394,17.19160652,328526800
1/22/2014,19.67535782,19.9032135,19.56464386,19.69678688,17.26801109,379985200
1/23/2014,19.64071465,19.875,19.45750046,19.86357117,17.41422462,403239200
1/24/2014,19.7857132,19.84357071,19.4553566,19.50250053,17.09768105,429354800
1/27/2014,19.64535713,19.81428528,19.4910717,19.6607132,17.23637772,554878800
1/28/2014,18.17000008,18.3928566,17.93107033,18.0892868,15.85872746,1065523200
1/29/2014,17.99821472,18.12035751,17.80785751,17.8839283,15.67868423,502810000
1/30/2014,17.9478569,18.0892868,17.73928642,17.84928513,15.64831543,678501600
1/31/2014,17.68499947,17.91178513,17.62678528,17.87857056,15.67399216,464797200
2/3/2014,17.95035744,18.13321495,17.83214378,17.91178513,15.70310879,401464000
2/4/2014,18.06607056,18.19499969,17.95571327,18.1710701,15.93041992,376681200
2/5/2014,18.09142876,18.40285683,18.0803566,18.30678558,16.04940224,328344800
2/6/2014,18.21642876,18.3392868,18.13607025,18.30392838,16.14295578,257765200
2/7/2014,18.62071419,18.67607117,18.47785759,18.55999947,16.3687973,370280400
2/10/2014,18.52357101,18.99964333,18.5,18.89249992,16.6620369,345559200
2/11/2014,18.95035744,19.2053566,18.9107132,19.1414299,16.88158035,282256800
2/12/2014,19.17678642,19.27000046,19.04428673,19.13999939,16.88031387,308100800
2/13/2014,19.09499931,19.45892906,19.07857132,19.44392967,17.14837074,307398000
2/14/2014,19.37392807,19.49928665,19.3289299,19.42821312,17.13450813,272924400
2/18/2014,19.5,19.68535614,19.48607063,19.49964333,17.19750214,260251600
2/19/2014,19.4553566,19.53178596,19.08392906,19.19178581,16.92599487,313768000
2/20/2014,19.03535652,19.1785717,18.8928566,18.96964264,16.73007202,305858000
2/21/2014,19.0282135,19.09178543,18.73571396,18.7589283,16.54423332,278784800
2/24/2014,18.68392944,18.92571449,18.65785789,18.84107018,16.61668396,288909600
2/25/2014,18.90642929,18.91321373,18.6071434,18.64500046,16.44375992,231952000
2/26/2014,18.70035744,18.75,18.41428566,18.47678566,16.29540825,276217200
2/27/2014,18.46928596,18.88500023,18.43035698,18.84535789,16.62046814,301882000
2/28/2014,18.89571381,19.0267868,18.64714241,18.79428673,16.57542229,371968800
3/3/2014,18.69357109,18.95178604,18.67178535,18.84857178,16.62329865,238781200
